"title","date","link"
"Україна і Фінляндія єдині, що питання санкцій проти РФ не має стосунку до пандемії - МЗС","02 квітня 2020","/rubric-polytics/2913369-ukraina-i-finlandia-edini-so-pitanna-sankcij-proti-rf-ne-mae-stosunku-do-pandemii-mzs.html"
"СБУ об'єднала дві кримінальні справи щодо Лероса - адвокат","07 квітня 2020","/rubric-polytics/2913178-sbu-obednala-dvi-kriminalni-spravi-sodo-lerosa-advokat.html"
"Уряд обрав нового керівника Чорнобильської зони","07 квітня 2020","/rubric-polytics/2913176-urad-obrav-novogo-kerivnika-cornobilskoi-zoni.html"
"Комітет соцполітики хоче заслухати Шмигаля щодо ринку праці та бюджету","06 квітня 2020","/rubric-polytics/2913129-komitet-socpolitiki-hoce-zasluhati-smigala-sodo-rinku-praci-ta-budzetu.html"
"КВУ заявляє про рекордно низькі показники голосувань у Раді","06 квітня 2020","/rubric-polytics/2913086-kvu-zaavlae-pro-rekordno-nizki-pokazniki-golosuvan-u-radi.html"
"ОПОРА порахувала, як депутати голосували у березні","04 квітня 2020","/rubric-polytics/2913027-opora-porahuvala-ak-deputati-golosuvali-u-berezni.html"
"""Банківський"" законопроєкт набрав вже 6000 поправок, прогнозують ще","03 квітня 2020","/rubric-polytics/2912998-bankivskij-zakonoproekt-nabrav-vze-6000-popravok-prognozuut-se.html"
"Зеленський побажав Джонсону швидкого одужання","03 квітня 2020","/rubric-polytics/2912920-zelenskij-pobazav-dzonsonu-svidkogo-oduzanna.html"
"Корнієнко не бачить жодних передумов для дострокових виборів","02 квітня 2020","/rubric-polytics/2912913-kornienko-zodnih-peredumov-dla-dostrokovih-viboriv-poki-nemae.html"
"Останні новини","07 квітня 2020","/block-lastnews"
"РФ прагне використати ситуацію з COVID-19 для посилення протиріччя всередині ЄС – Кислиця","07 квітня 2020","/rubric-polytics/2912298-rf-pragne-vikoristati-situaciu-z-covid19-dla-posilenna-protiricca-vseredini-es-kislica.html"
"Україна готує вертоліт-реанімацію для допомоги італійцям - Аваков","06 квітня 2020","/rubric-polytics/2912233-ukraina-gotue-vertolitreanimaciu-dla-dopomogi-italijcam-avakov.html"
"Комітет ВР подав пропозиції до бюджету щодо меншого скорочення видатків на культуру","06 квітня 2020","/rubric-polytics/2912188-komitet-vr-podav-propozicii-do-budzetu-sodo-mensogo-skorocenna-vidatkiv-na-kulturu.html"
"Кулеба: Попри пандемію динаміка відносин з Казахстаном збережеться","04 квітня 2020","/rubric-polytics/2912185-kuleba-popri-pandemiu-dinamika-vidnosin-z-kazahstanom-zberezetsa.html"
"Норвегія запевняє, що санкції проти РФ збережуться до повного виконання нею ""Мінська""","03 квітня 2020","/rubric-polytics/2912176-norvegia-zapevnae-so-sankcii-proti-rf-zberezutsa-do-povnogo-vikonanna-neu-minska.html"
"Кулеба: Тиждень Азії в МЗС - це початок нової регіональної стратегії України","03 квітня 2020","/rubric-polytics/2912135-kuleba-tizden-azii-v-mzs-ce-pocatok-novoi-regionalnoi-strategii-ukraini.html"
"У НАТО повідомили подробиці нових ініціатив щодо України та Грузії","02 квітня 2020","/rubric-polytics/2912026-u-nato-povidomili-podrobici-novih-iniciativ-sodo-ukraini-ta-gruzii.html"
"Арахамія сказав, коли може зібратися позачергова Рада","07 квітня 2020","/rubric-polytics/2911984-arahamia-skazav-koli-moze-zibratisa-pozacergova-rada.html"
"Кулеба: У практиці Мінська немає жодного прямого ""діалогу Києва та Донбасу""","07 квітня 2020","/rubric-polytics/2911975-kuleba-u-praktici-minska-nemae-zodnogo-pramogo-dialogu-kieva-ta-donbasu.html"
"Депутат від ""Слуги народу"" Горбенко заявляє, що одужав від коронавірусу","06 квітня 2020","/rubric-polytics/2911884-deputat-vid-slugi-narodu-gorbenko-zaavlae-so-oduzav-vid-koronavirusu.html"
"Степанов – про компанію дружини: Жодного стосунку до постачання медтоварів","06 квітня 2020","/rubric-polytics/2911871-stepanov-pro-kompaniu-druzini-zodnogo-stosunku-do-postacanna-medtovariv.html"
"Порошенко закликає ЄС дати відсіч спробам Росії використати пандемію для зняття санкцій","04 квітня 2020","/rubric-polytics/2911834-porosenko-zaklikae-es-dati-vidsic-sprobam-rosii-vikoristati-pandemiu-dla-znatta-sankcij.html"
"Лерос заявив, що у нього немає і не може бути конфліктів з Єрмаком","03 квітня 2020","/rubric-polytics/2911719-leros-zaaviv-so-u-nogo-nemae-i-ne-moze-buti-konfliktiv-z-ermakom.html"
"У Раді продовжили обмеження до кінця карантину","03 квітня 2020","/rubric-polytics/2911694-u-radi-prodovzili-obmezenna-do-kinca-karantinu.html"
"Кабмін доручив ОДА обмежити виїзди з областей","02 квітня 2020","/rubric-polytics/2911681-kabmin-doruciv-oda-obmeziti-viizdi-z-oblastej.html"
"Останні новини","07 квітня 2020","/block-lastnews"
"Корнієнко не виключає позачергової «бюджетної» Ради наступного тижня","07 квітня 2020","/rubric-polytics/2911677-kornienko-ne-viklucae-pozacergovoi-budzetnoi-radi-nastupnogo-tizna.html"
"Місцеві вибори поки ніхто не скасовував, Рада шукатиме гроші – Корнієнко","06 квітня 2020","/rubric-polytics/2911630-miscevi-vibori-poki-nihto-ne-skasovuvav-rada-sukatime-grosi-kornienko.html"
"Російські фейки та перешкоди гуманітарним місіям збільшують загрозу COVID-19 - США","06 квітня 2020","/rubric-polytics/2911585-rosijski-fejki-ta-pereskodi-gumanitarnim-misiam-zbilsuut-zagrozu-covid19-ssa.html"
"Шмигаль обговорив із послами Північної Європи та Балтії протидію коронавірусу","04 квітня 2020","/rubric-polytics/2911560-smigal-obgovoriv-iz-poslami-pivnicnoi-evropi-ta-baltii-protidiu-koronavirusu.html"
"Сінгапур буде одним із ключових партнерів України в Азії - МЗС","03 квітня 2020","/rubric-polytics/2911530-singapur-bude-odnim-iz-klucovih-partneriv-ukraini-v-azii-mzs.html"
"У Раду внесли законопроєкт про зміни до закону про Конституційний Суд","03 квітня 2020","/rubric-polytics/2911521-u-radu-vnesli-zakonoproekt-pro-zmini-do-zakonu-pro-konstitucijnij-sud.html"
"Уряд не планує жодних пауз у європейській та євроатлантичній інтеграції – Пристайко","02 квітня 2020","/rubric-polytics/2911492-urad-ne-planue-zodnih-pauz-u-evropejskij-ta-evroatlanticnij-integracii-pristajko.html"
"Брат Єрмака ходить на допити у справі ""відео Лероса"" – депутат ""Слуги народу""","07 квітня 2020","/rubric-polytics/2911430-brat-ermaka-hodit-na-dopiti-u-spravi-video-lerosa-deputat-slugi-narodu.html"
"МОЗ сформує новий реєстр місць для обсервації","07 квітня 2020","/rubric-polytics/2911408-moz-sformue-novij-reestr-misc-dla-observacii.html"
"Маніпуляції Росії в ООН лише шкодять протидії пандемії коронавірусу — МЗС","06 квітня 2020","/rubric-polytics/2911403-manipulacii-rosii-v-oon-lise-skodat-protidii-pandemii-koronavirusu-mzs.html"
"ОПОРА назвала ""злісних прогульників"" у Раді","06 квітня 2020","/rubric-polytics/2911401-opora-nazvala-zlisnih-progulnikiv-u-radi.html"
"МЗС через коронавірус відклало ротацію дипломатів за кордоном","04 квітня 2020","/rubric-polytics/2911368-mzs-cerez-koronavirus-vidklalo-rotaciu-diplomativ-za-kordonom.html"
"Перемовини з Іраном про ""чорні скриньки"" збитого літака МАУ тривають - Кулеба","03 квітня 2020","/rubric-polytics/2911307-peremovini-z-iranom-pro-corni-skrinki-zbitogo-litaka-mau-trivaut-kuleba.html"
"Лерос сходив на допит у Держбюро розслідувань","03 квітня 2020","/rubric-polytics/2911290-leros-shodiv-na-dopit-u-derzburo-rozsliduvan.html"
"Україна заблокувала в ООН маніпулятивну резолюцію Росії щодо Covid-19 – Кислиця","02 квітня 2020","/rubric-polytics/2911141-ukraina-zablokuvala-v-oon-manipulativnu-rezoluciu-rosii-sodo-covid19-kislica.html"
"Останні новини","07 квітня 2020","/block-lastnews"
"Програма Кабміну: інтеграція до НАТО зміцнить обороноздатність України","07 квітня 2020","/rubric-polytics/2911183-programa-kabminu-integracia-do-nato-zmicnit-oboronozdatnist-ukraini.html"
"Уряд затвердив програму діяльності – Шмигаль","06 квітня 2020","/rubric-polytics/2911122-urad-zatverdiv-programu-dialnosti-smigal.html"
"Україна і Туркменістан поглиблюватимуть політичні та економічні відносини","06 квітня 2020","/rubric-polytics/2911116-ukraina-i-turkmenistan-poglibluvatimut-politicni-ta-ekonomicni-vidnosini.html"
"“Слуга народу” вимагає неупередженого розслідування справи Лероса","04 квітня 2020","/rubric-polytics/2911106-sluga-narodu-vimagae-neuperedzenogo-rozsliduvanna-spravi-lerosa.html"
"НАТО закликає РФ зупинити бойові дії на Донбасі","03 квітня 2020","/rubric-polytics/2911085-nato-zaklikae-rf-zupiniti-bojovi-dii-na-donbasi-sob-dati-mozlivist-borotisa-z-covid19.html"
"В умовах глобальної пандемії ООН продовжує приділяти Україні пріоритетну увагу - Кислиця","03 квітня 2020","/rubric-polytics/2911080-v-umovah-globalnoi-pandemii-oon-prodovzue-pridilati-ukraini-prioritetnu-uvagu-kislica.html"
"Зеленський обговорив з генсеком ООН ситуацію на Донбасі","02 квітня 2020","/rubric-polytics/2911065-zelenskij-obgovoriv-z-gensekom-oon-situaciu-na-donbasi.html"
"Адвокат заявляє, що СБУ із порушеннями викликала Лероса на допит","07 квітня 2020","/rubric-polytics/2911055-advokat-zaavlae-so-sbu-iz-porusennami-viklikala-lerosa-na-dopit.html"
"НАТО погодило новий пакет підтримки України і Грузії -  Столтенберг","07 квітня 2020","/rubric-polytics/2911076-nato-pogodilo-zahodi-z-pogliblenna-partnerstva-z-ukrainou-i-gruzieu.html"
"У Зеленського відреагували на ""плівки Єрмака"": Ніхто з відео посади не отримав","06 квітня 2020","/rubric-polytics/2911031-u-zelenskogo-vidreaguvali-na-plivki-ermaka-nihto-z-video-posadi-ne-otrimav.html"
"До Зеленського позитивно ставляться 46% українців","06 квітня 2020","/rubric-polytics/2910974-do-zelenskogo-pozitivno-stavlatsa-46-ukrainciv.html"
"Зеленський і президент Євроради обговорили пандемію та санкції проти РФ","04 квітня 2020","/rubric-polytics/2910971-zelenskij-i-prezident-evroradi-obgovorili-pandemiu-ta-sankcii-proti-rf.html"
"Уряд збирається на засідання - Криклій","03 квітня 2020","/rubric-polytics/2910926-urad-zbiraetsa-na-zasidanna-kriklij.html"
"Україна і Японія розвиватимуть взаємодію з протидії гібридним загрозам та кібератакам","03 квітня 2020","/rubric-polytics/2910914-ukraina-i-aponia-rozvivatimut-vzaemodiu-z-protidii-gibridnim-zagrozam-ta-kiberatakam.html"
"""Голос"" закликає Єрмака до ""політичної самоізоляції""","02 квітня 2020","/rubric-polytics/2910901-golos-zaklikae-ermaka-do-politicnoi-samoizolacii.html"
